url,name,distance (m),moving_time (s),elapsed_time (s),moving_time (h:mm:ss),elapsed_time (h:mm:ss),total_elevation_gain (m),type,start_date_local,start_time_local,start_day_of_week_local,average_speed (m/s),average_pace (min/km)
https://www.strava.com/activities/2162862373,Still dislike morning runs,18815.2,5295,5533,1:28:15,1:32:13,35.7,Run,2019-02-20,07:19:55,WEDNESDAY,3.553,4:41
https://www.strava.com/activities/2168101794,10k @ 15k pace,16329.0,3969,3969,1:06:09,1:06:09,74.4,Run,2019-02-22,16:20:01,FRIDAY,4.114,4:03
https://www.strava.com/activities/2170503805,Recovery,8093.4,2251,2320,0:37:31,0:38:40,22.5,Run,2019-02-23,14:09:41,SATURDAY,3.595,4:38
https://www.strava.com/activities/2173338136,Hilly long around Deep Cove,32198.5,8895,9111,2:28:15,2:31:51,543.9,Run,2019-02-24,10:56:24,SUNDAY,3.62,4:36
https://www.strava.com/activities/2176917055,Morning Run,10004.2,2943,2961,0:49:03,0:49:21,25.6,Run,2019-02-26,06:49:20,TUESDAY,3.399,4:54
https://www.strava.com/activities/2180678527,Afternoon Run,22640.8,6744,6838,1:52:24,1:53:58,37.1,Run,2019-02-27,16:09:31,WEDNESDAY,3.357,4:58
https://www.strava.com/activities/2182881766,Nice evening,10002.5,2754,2950,0:45:54,0:49:10,61.1,Run,2019-02-28,17:28:19,THURSDAY,3.632,4:35
https://www.strava.com/activities/2186770504,Recovery + strides,10000.0,2932,3123,0:48:52,0:52:03,127.0,Run,2019-03-02,10:40:23,SATURDAY,3.411,4:53
https://www.strava.com/activities/2189421910,19k @ MP,26368.0,7100,7204,1:58:20,2:00:04,465.0,Run,2019-03-03,10:01:36,SUNDAY,3.714,4:29
https://www.strava.com/activities/2194150015,Afternoon Run,13001.0,3772,3859,1:02:52,1:04:19,19.9,Run,2019-03-05,17:18:51,TUESDAY,3.447,4:50
https://www.strava.com/activities/2196252681,5x800 on the track like Kejelcha,13144.7,3660,3900,1:01:00,1:05:00,131.7,Run,2019-03-06,17:16:41,WEDNESDAY,3.591,4:38
https://www.strava.com/activities/2197241202,Recovery part 1,5200.6,1501,1508,0:25:01,0:25:08,9.4,Run,2019-03-07,07:00:45,THURSDAY,3.465,4:49
https://www.strava.com/activities/2197257750,Recovery part 2,3000.0,900,900,0:15:00,0:15:00,0.0,Run,2019-03-07,07:45:34,THURSDAY,3.333,5:00
https://www.strava.com/activities/2202242275,Hills + strides,13004.7,3877,4229,1:04:37,1:10:29,159.5,Run,2019-03-09,09:58:14,SATURDAY,3.354,4:58
https://www.strava.com/activities/2205006048,Warmup,2018.1,841,841,0:14:01,0:14:01,4.7,Run,2019-03-10,11:06:48,SUNDAY,2.4,6:57
https://www.strava.com/activities/2205007072,Exploring,21319.1,5859,5935,1:37:39,1:38:55,213.3,Run,2019-03-10,11:22:02,SUNDAY,3.639,4:35
https://www.strava.com/activities/2209727591,11k tempo,18091.4,4551,4572,1:15:51,1:16:12,69.1,Run,2019-03-12,16:33:49,TUESDAY,3.975,4:12
https://www.strava.com/activities/2211978594,Strides at Burnaby Lake,12197.2,3393,3443,0:56:33,0:57:23,18.8,Run,2019-03-13,17:39:11,WEDNESDAY,3.595,4:38
https://www.strava.com/activities/2215961921,Excited to race on Sunday,19166.5,5182,5443,1:26:22,1:30:43,41.6,Run,2019-03-15,17:11:53,FRIDAY,3.699,4:30
https://www.strava.com/activities/2217738356,Recovery,7998.3,2381,2585,0:39:41,0:43:05,37.3,Run,2019-03-16,10:03:44,SATURDAY,3.359,4:58
https://www.strava.com/activities/2220199131,Warmup,4120.2,1287,1406,0:21:27,0:23:26,7.7,Run,2019-03-17,08:17:31,SUNDAY,3.201,5:12
https://www.strava.com/activities/2220375722,My first win - Shamrock'n 7 mile,10630.4,2345,2345,0:39:05,0:39:05,15.7,Run,2019-03-17,09:00:11,SUNDAY,4.533,3:41
https://www.strava.com/activities/2220564144,Cooldown,5377.0,1593,1623,0:26:33,0:27:03,7.2,Run,2019-03-17,10:15:09,SUNDAY,3.375,4:56
https://www.strava.com/activities/2223449865,Photosynthesis,27143.5,7200,7607,2:00:00,2:06:47,183.0,Run,2019-03-18,16:24:38,MONDAY,3.77,4:25
https://www.strava.com/activities/2228412009,5 x 600 in < 2:00,13809.1,3837,3933,1:03:57,1:05:33,24.9,Run,2019-03-20,17:27:37,WEDNESDAY,3.599,4:38
https://www.strava.com/activities/2230739873,Medium long,18892.8,5352,5384,1:29:12,1:29:44,82.3,Run,2019-03-21,16:33:51,THURSDAY,3.53,4:43
https://www.strava.com/activities/2235015497,Morning Run,10499.1,2944,2955,0:49:04,0:49:15,15.5,Run,2019-03-23,10:52:36,SATURDAY,3.566,4:40
https://www.strava.com/activities/2238202243,5000 lifetime kilometers!,32001.6,8676,8708,2:24:36,2:25:08,52.1,Run,2019-03-24,09:38:58,SUNDAY,3.689,4:31
https://www.strava.com/activities/2243343633,Cashing in prize money for gels,10312.9,3147,3483,0:52:27,0:58:03,17.3,Run,2019-03-26,16:01:29,TUESDAY,3.277,5:05
https://www.strava.com/activities/2246109364,Battling a minor cold,10000.0,2820,2820,0:47:00,0:47:00,0.0,Run,2019-03-27,20:55:20,WEDNESDAY,3.546,4:42
https://www.strava.com/activities/2250502566,Getting back into it,19157.6,4973,4975,1:22:53,1:22:55,80.9,Run,2019-03-29,16:20:48,FRIDAY,3.852,4:20
https://www.strava.com/activities/2252823410,Lunch Run,7999.5,2238,2248,0:37:18,0:37:28,56.3,Run,2019-03-30,11:25:40,SATURDAY,3.574,4:40
https://www.strava.com/activities/2256227506,24k @ MP with Camosun/Burrard hill simulator,30331.3,7867,7890,2:11:07,2:11:30,135.1,Run,2019-03-31,13:53:46,SUNDAY,3.856,4:19
https://www.strava.com/activities/2261092736,Hang in there achilles!,5002.8,1609,1609,0:26:49,0:26:49,9.4,Run,2019-04-02,17:21:30,TUESDAY,3.109,5:22
https://www.strava.com/activities/2263481651,Flat easy recovery,10001.2,3073,3120,0:51:13,0:52:00,18.6,Run,2019-04-03,17:11:25,WEDNESDAY,3.255,5:07
https://www.strava.com/activities/2265818874,Afternoon Run,14997.6,4333,4363,1:12:13,1:12:43,30.3,Run,2019-04-04,17:18:19,THURSDAY,3.461,4:49
https://www.strava.com/activities/2269347203,Warmup,4083.0,1234,1234,0:20:34,0:20:34,7.1,Run,2019-04-06,07:40:19,SATURDAY,3.309,5:02
https://www.strava.com/activities/2269660733,Up the creek "10k",9648.7,2109,2109,0:35:09,0:35:09,7.2,Run,2019-04-06,08:32:58,SATURDAY,4.575,3:39
https://www.strava.com/activities/2269720228,Cooldown,5301.8,1612,2704,0:26:52,0:45:04,4.5,Run,2019-04-06,09:15:22,SATURDAY,3.289,5:04
https://www.strava.com/activities/2273059925,Lougheed Town Center,32130.2,8951,8981,2:29:11,2:29:41,232.0,Run,2019-04-07,08:57:56,SUNDAY,3.59,4:39
https://www.strava.com/activities/2278354506,5x1000 in 3:25,13001.8,3526,3855,0:58:46,1:04:15,133.4,Run,2019-04-09,16:08:37,TUESDAY,3.687,4:31
https://www.strava.com/activities/2283374284,Evening Run,5000.0,1610,1610,0:26:50,0:26:50,0.0,Run,2019-04-11,19:28:51,THURSDAY,3.106,5:22
https://www.strava.com/activities/2285360940,Afternoon Run,11511.6,3499,3522,0:58:19,0:58:42,19.0,Run,2019-04-12,17:53:21,FRIDAY,3.29,5:04
https://www.strava.com/activities/2287467014,Sun Run tomorrow!,7388.4,2175,2239,0:36:15,0:37:19,21.0,Run,2019-04-13,11:20:44,SATURDAY,3.397,4:54
https://www.strava.com/activities/2289815282,Warmup,2059.4,790,806,0:13:10,0:13:26,13.4,Run,2019-04-14,08:21:58,SUNDAY,2.607,6:24
https://www.strava.com/activities/2289966922,Sun Run,10064.9,2157,2157,0:35:57,0:35:57,53.1,Run,2019-04-14,09:00:06,SUNDAY,4.666,3:34
https://www.strava.com/activities/2290112578,Cooldown,5705.3,1686,1772,0:28:06,0:29:32,47.5,Run,2019-04-14,09:49:10,SUNDAY,3.384,4:56
https://www.strava.com/activities/2295653566,Afternoon Run,14179.5,4255,4510,1:10:55,1:15:10,106.3,Run,2019-04-16,17:23,TUESDAY,3.332,5:00
https://www.strava.com/activities/2298273086,Afternoon Run,15080.0,4267,4446,1:11:07,1:14:06,73.6,Run,2019-04-17,17:59:53,WEDNESDAY,3.534,4:43
https://www.strava.com/activities/2303187152,4x1200 in <4:10,14010.5,3483,3630,0:58:03,1:00:30,152.5,Run,2019-04-19,16:03:24,FRIDAY,4.023,4:09
https://www.strava.com/activities/2305962126,Afternoon Run,10203.8,3228,3318,0:53:48,0:55:18,46.0,Run,2019-04-20,15:30:09,SATURDAY,3.161,5:16
https://www.strava.com/activities/2308299208,2 hour long,27288.3,7201,7272,2:00:01,2:01:12,258.3,Run,2019-04-21,09:59:05,SUNDAY,3.79,4:24
https://www.strava.com/activities/2314338240,Easy with strides,11305.7,3349,3370,0:55:49,0:56:10,18.7,Run,2019-04-23,17:59:03,TUESDAY,3.376,4:56
https://www.strava.com/activities/2316899844,3x1600 in 5:40,13817.9,3787,3874,1:03:07,1:04:34,138.4,Run,2019-04-24,17:56:14,WEDNESDAY,3.649,4:34
https://www.strava.com/activities/2321482776,Easy with strides,7997.3,2246,2291,0:37:26,0:38:11,14.1,Run,2019-04-26,17:40:34,FRIDAY,3.561,4:41
https://www.strava.com/activities/2326616720,Medium long,19340.9,5522,5568,1:32:02,1:32:48,110.6,Run,2019-04-28,10:50:24,SUNDAY,3.503,4:45
https://www.strava.com/activities/2331985303,Afternoon Run,9814.2,2796,3054,0:46:36,0:50:54,94.6,Run,2019-04-30,17:26:17,TUESDAY,3.51,4:45
https://www.strava.com/activities/2335168152,Dress rehearsal,11001.3,3020,3041,0:50:20,0:50:41,18.2,Run,2019-05-01,17:26:10,WEDNESDAY,3.643,4:34
https://www.strava.com/activities/2341483716,Ready to race Yuki tomorrow,4725.4,1586,1586,0:26:26,0:26:26,11.0,Run,2019-05-04,08:39:10,SATURDAY,2.979,5:36
